smile,wear professional Attire,use clean background,look serious,show your face clearly,use formal expression,wear suit,look confidence,look approachability,don't look emotional,crop the picture,avoid noise or artifacts,use positive atmosphere,use corporate environment,look trustworthiness,be energetic,look distinctive,look calm,fix your hair,show your face more,show your body more,put your face horizontally in the center,put your face vertically in the center,tilt your head,use eye contact,use high resolution,use good lighting,use color harmony in the pic,use lighting quality,LABEL
0.94,0.9,0.7,0.52,0.34,0.68,0.93,0.86,0.28,0.89,0.43,0.37,0.86,0.19,0.77,0.93,0.22,0.51,0.96,0.070404032,0.2855115769771359,0.9242947995662688,0.9661855101585388,0.033999215,0.8511484265327454,1,0.3,0.64,1,69.28710938
0.83,0.98,0.27,0.86,0.38,0.48,1,0.92,0.15,0.86,0.58,0.08,0.95,0.27,0.79,0.98,0.25,0.27,0.96,0.1157579335598502,0.3749765173506003,0.8448682924111685,0.8753771185874939,0.2370276649231368,0.7396164139111837,1,0.31,0.91,0.8280671563732609,57.76367188
0.52,0.96,0.56,0.97,0.08,0.39,1,0.85,0.45,0.82,0.56,0.37,0.9,0.71,0.59,0.64,0.73,0.4,0.97,0.027878368,0.2216303673429216,0.9547509451707205,0.5175318717956543,0.2354931189113412,0.9134726325670878,1,0.38,0.92,0.479524046,64.79492188
0.29,0.98,0.38,0.99,0.52,0.95,1,0.92,0.15,0.93,0.55,0.14,0.86,0.41,0.69,0.65,0.23,0.27,0.98,0.1380113323790865,0.4748841636116054,0.9727894365787506,0.9560258984565736,0.001323859,0.917258322,1,0.28,0.97,0.9050399514312454,70.26367188
0.19,1,0.7,1,0.29,0.43,1,0.91,0.19,0.67,0.62,0.1,0.91,0.84,0.78,0.7,0.8,0.37,0.97,0.041373377,0.5232954389967386,0.9500677486260732,0.391804039,0.1196782637468644,0.977612595,1,0.35,0.73,0.1025985578132144,80.56640625
0.57,0.73,0.34,0.74,0.21,0.09,0.94,0.91,0.26,0.55,0.15,0.12,0.96,0.3,0.89,0.85,0.65,0.74,0.9,0.027862579,0.2009050436025283,0.5530579288800557,0.6009955406188965,0.013807489,0.8912845055262255,1,0.3,0.53,1,44.55566406
0.53,0.98,0.42,0.86,0.26,0.97,1,0.95,0.28,0.5,0.82,0.12,0.77,0.98,0.82,0.97,0.55,0.39,0.93,0.09369167,0.3710814136537284,0.9902778963247932,0.7887294888496399,0.038962861,0.9062241117159512,1,0.39,0.9,0.7964664865218135,71.53320313
0.59,1,0.19,0.94,0.23,0.7,1,0.98,0.25,0.44,0.78,0.09,0.98,0.67,0.83,0.64,0.85,0.21,0.96,0.06281401,0.3838718677975855,0.9299971361955006,0.6047818660736084,0.1275873202219739,0.8338358600934335,1,0.38,0.9,0.8135670651129054,59.27734375
0.5,0.96,0.38,0.94,0.26,0.74,0.97,0.94,0.36,0.93,0.83,0.16,0.93,0.28,0.6,0.73,0.22,0.73,0.93,0.078301238,0.4618161444521149,0.7996263106664022,0.7278032302856445,0.03729231,0.8462363084157308,1,0.62,0.93,0.5408532656154328,74.609375
0.93,0.98,0.52,0.22,0.23,0.82,1,0.95,0.44,0.36,0.24,0.14,0.95,0.42,0.86,0.96,0.69,0.58,0.97,0.069427068,0.4451290148695266,0.8294372856616974,0.5534701943397522,0.4558643318337028,0.4933250546455383,1,0.32,0.89,0.8202473553364701,63.72070313
0.7,0.99,0.7,0.94,0.54,0.8,0.99,0.98,0.18,0.86,0.48,0.16,0.84,0.79,0.74,0.87,0.15,0.69,1,0.1120553654758538,0.5959167298552401,0.974970003,0.7108697295188904,0.02906123,0.7597118218739817,1,0.27,0.97,0.6816681137188207,56.98242188
0.84,0.96,0.55,0.89,0.3,0.21,1,0.8,0.5,0.87,0.31,0.12,0.91,0.58,0.61,0.88,0.45,0.32,0.95,0.058285985,0.5317380276115724,0.9961469372113544,0.5448770523071289,0.1066487344856895,0.9397883812586476,1,0.13,0.92,0.697962472,74.0234375
0.9,1,0.1,0.68,0.87,0.99,1,0.99,0.55,0.37,0.74,0.35,0.92,0.93,0.79,0.86,0.8,0.16,0.96,0.2080325787678312,0.4419488811129213,0.9433021942774454,0.9588764905929564,0.099828715,0.551960031,1,0.31,0.88,0.8958326463373657,46.875
0.57,0.73,0.34,0.74,0.21,0.09,0.94,0.91,0.26,0.55,0.15,0.12,0.96,0.3,0.89,0.85,0.65,0.74,0.9,0.027862579,0.2009050436025283,0.5530579288800557,0.6009955406188965,0.013807489,0.8912845055262255,1,0.3,0.53,1,44.55566406
0.95,1,0.31,0.85,0.43,0.88,1,0.99,0.42,0.77,0.57,0.32,0.87,0.82,0.92,0.89,0.41,0.36,0.98,0.070522307,0.4310317178648617,0.976031224,0.7292483448982239,0.03380359,0.9014421304066976,1,0.37,0.86,0.553956276,39.99023438
0.71,0.93,0.33,0.79,0.3,0.57,0.46,0.74,0.4,0.79,0.55,0.23,0.95,0.79,0.68,0.45,0.37,0.9,0.74,0.021643171,0.4261850029564726,0.9847453633944192,0.6315385103225708,0.6222586310914265,0.3509497245152791,1,0.47,0.73,0.7760937276049382,73.09570313
0.69,0.93,0.48,0.92,0.4,0.48,0.93,0.54,0.23,0.78,0.24,0.13,0.81,0.37,0.68,0.77,0.32,0.32,0.89,0.1009679395720573,0.3801329106152451,0.8892565766970316,0.8636910319328308,0.3353571800898097,0.985162218,1,0.33,0.89,0.8009473802086512,56.98242188
0.19,0.99,0.35,0.99,0.5,0.74,1,0.89,0.13,0.85,0.2,0.1,0.76,0.39,0.78,0.32,0.25,0.42,0.9,0.3492483252552123,0.7177022695541382,0.9432300329208374,0.833079457,0.051580092,0.6630585193634033,1,0.46,0.49,0.7216672954643496,60.7421875
0.94,0.95,0.25,0.48,0.27,0.85,0.99,0.86,0.56,0.8,0.5,0.23,0.87,0.32,0.87,0.98,0.37,0.44,0.99,0.068987092,0.4228231193327758,0.9560108681519828,0.7786219716072083,0.1670213679605018,0.964833955,1,0.45,0.76,0.6150377398564294,69.28710938
0.61,0.98,0.64,0.97,0.4,0.67,1,0.83,0.35,0.8,0.64,0.26,0.87,0.77,0.69,0.68,0.77,0.38,0.91,0.1405661540060876,0.5917075572913949,0.8190782169500986,0.8893218040466309,0.1752977593572509,0.7514058152834575,1,0.16,0.73,1,67.91992188
0.18,0.99,0.5,0.97,0.2,0.5,1,0.7,0.12,0.51,0.27,0.34,0.93,0.63,0.75,0.41,0.71,0.56,0.98,0.1504979440307607,0.5250643366633057,0.860716184,0.8039979338645935,0.019142282,0.8949817816416422,1,0.46,0.52,0.2233948572337247,68.9453125
0.69,0.93,0.48,0.92,0.4,0.48,0.93,0.54,0.23,0.78,0.24,0.13,0.81,0.37,0.68,0.77,0.32,0.32,0.89,0.1009679395720573,0.3801329106152451,0.8892565766970316,0.8636910319328308,0.3353571800898097,0.985162218,1,0.33,0.89,0.8009473802086512,56.98242188
0.32,0.99,0.85,0.94,0.73,0.96,1,0.97,0.52,0.28,0.82,0.12,0.97,0.94,0.51,0.16,0.76,0.36,0.98,0.03,0.88,0.84,0.77,0.23,0.34,1,0.2,0.99,0.8128666999176954,55.46875
0.18,0.58,0.11,0.62,0.14,0.86,1,0.71,0.21,0.67,0.64,0.63,0.86,0.12,0.56,0.95,0.67,0.34,0.98,0.08632189,0.325904044,0.5688936213652294,0.9853753447532654,0.3731170319881869,0.9372334281603496,1,0.27,0.9,0.4020845209619341,40.35644531
0.95,1,0.31,0.85,0.43,0.88,1,0.99,0.42,0.77,0.57,0.32,0.87,0.82,0.92,0.89,0.41,0.36,0.98,0.070522307,0.4310317178648617,0.976031224,0.7292483448982239,0.03380359,0.9014421304066976,1,0.37,0.86,0.553956276,39.99023438
0.54,0.99,0.34,0.95,0.15,0.08,1,0.86,0.17,0.7,0.18,0.04,0.88,0.73,0.71,0.84,0.57,0.35,0.82,0.052598591,0.4078114083357032,0.9929639399051666,0.5612614750862122,0.2305438576835644,0.9929144978523254,1,0.23,0.68,0.422855493,64.79492188
0.15,0.45,0.85,0.94,0.43,0.06,1,0.56,0.04,0.19,0.46,0.22,0.22,0.13,0.42,0.69,0.27,0.58,0.98,0.95,0.45,0.89,0.96,0.07,0.12,1,0.18,0.8,0.079359911,65.13671875
0.15,1,0.61,1,0.27,0.7,1,0.95,0.18,0.6,0.69,0.23,0.81,0.89,0.8,0.56,0.87,0.54,0.96,0.020413812,0.2320762562151728,0.9766147037347158,0.3881377577781677,0.1648985909861706,0.9749289949735006,1,0.28,0.55,0.048683394,77.97851563
0.89,1,0.27,0.34,0.95,1,1,0.79,0.58,0.79,0.31,0.4,0.94,0.92,0.66,0.93,0.97,0.17,0.95,0.058898195,0.166911197,0.5677987933158875,0.6167635917663574,0.1562279972536401,0.7507792711257935,1,0.33,0.89,0.539453289,55.81054688
0.9,1,0.36,0.89,0.28,0.85,1,0.99,0.39,0.76,0.65,0.35,0.93,0.79,0.75,0.59,0.69,0.72,0.95,0.040784012,0.4509126872102538,0.9742032488187156,0.5458964109420776,0.2178762869667947,0.7585783402125026,1,0.39,0.86,0.5394772119133561,69.28710938
0.26,0.95,0.55,0.79,0.2,0.93,0.99,0.93,0.19,0.62,0.68,0.2,0.89,0.58,0.45,0.29,0.16,0.69,0.98,0.057913967,0.319291765,0.8962456782658896,0.7045847177505493,0.049109474,0.9110003312428802,1,0.3,0.92,0.6716645093229165,77.19726563
0.5,0.96,0.38,0.94,0.26,0.74,0.97,0.94,0.36,0.93,0.83,0.16,0.93,0.28,0.6,0.73,0.22,0.73,0.93,0.078301238,0.4618161444521149,0.7996263106664022,0.7278032302856445,0.03729231,0.8462363084157308,1,0.62,0.93,0.5408532656154328,74.609375
0.03,0.96,0.28,0.94,0.4,0.98,1,0.31,0.03,0.6,0.12,0.1,0.94,0.68,0.76,0.27,0.99,0.11,0.95,0.036093476,0.04796642,0.99,0.91,0.01,0.4,1,0.43,0.94,0.373084424,65.8203125
0.86,1,0.6,0.92,0.43,0.34,1,0.94,0.42,0.87,0.31,0.08,0.89,0.85,0.84,0.81,0.53,0.44,0.92,0.079144627,0.5045158445359199,0.8915139138698578,0.5467808246612549,0.1311917670791592,0.8047056794166565,1,0.25,0.84,0.5583298302738094,77.44140625
0.86,1,0.6,0.92,0.43,0.34,1,0.94,0.42,0.87,0.31,0.08,0.89,0.85,0.84,0.81,0.53,0.44,0.92,0.079144627,0.5045158445359199,0.8915139138698578,0.5467808246612549,0.1311917670791592,0.8047056794166565,1,0.25,0.84,0.5583298302738094,77.44140625
0.61,0.98,0.64,0.97,0.4,0.67,1,0.83,0.35,0.8,0.64,0.26,0.87,0.77,0.69,0.68,0.77,0.38,0.91,0.1405661540060876,0.5917075572913949,0.8190782169500986,0.8893218040466309,0.1752977593572509,0.7514058152834575,1,0.16,0.73,1,67.91992188
0.8,0.94,0.52,0.95,0.36,0.12,0.99,0.8,0.39,0.75,0.38,0.06,0.94,0.6,0.69,0.75,0.19,0.69,0.77,0.087877409,0.4453173755281722,0.9890716671943665,0.8156097531318665,0.2412595944548618,0.7658175230026245,1,0.37,0.94,0.9692728,71.53320313
0.31,0.9,0.5,0.6,0.8,0.96,1,0.46,0.22,0.83,0.55,0.59,0.8,0.73,0.24,0.94,0.64,0.14,0.98,0.034537787,0.1305138253309277,0.4030046264330545,0.7680439949035645,0.50347503,0.8888630668322245,1,0.08,0.9,0.7538361949629628,42.26074219
0.63,0.98,0.36,0.93,0.28,0.74,1,0.79,0.43,0.92,0.62,0.39,0.87,0.59,0.71,0.88,0.39,0.47,0.96,0.077714176,0.4080578816030211,0.9716014067331948,0.7893548011779785,0.046354356,0.8109445969263703,1,0.33,0.78,1,66.89453125
